Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 00:00:00,0,8.14,1017,7
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 01:00:00,0,8.32,1017,6
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 02:00:00,0,8.49,1016,7
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 03:00:00,0,8.56,1016,7
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 04:00:00,0,8.85,1015,7
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 05:00:00,0,9.36,1015,7
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 06:00:00,0,10.02,1015,7
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 07:00:00,0,10.7,1014,6
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 08:00:00,0,10.61,1013,7
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 09:00:00,0,11.21,1013,8
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 10:00:00,0,11.81,1012,8
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 11:00:00,0,12.55,1010,8
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 12:00:00,0,13.62,1009,8
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 13:00:00,0,14.32,1008,8
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 14:00:00,0,14.34,1007,7
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 15:00:00,0,14.08,1007,7
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 16:00:00,0,14.39,1005,9
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 17:00:00,0,14.46,1004,9
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 18:00:00,0,14.8,1004,8
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 19:00:00,0,15.3,1003,7
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 20:00:00,0,15.82,1003,9
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 21:00:00,0,15.65,1003,8
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 22:00:00,0,15.49,1002,8
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-28 23:00:00,0,15.53,1002,10
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 00:00:00,0,15.36,1002,11
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 01:00:00,0,15.25,1002,11
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 02:00:00,0,15.26,1002,11
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 03:00:00,0,15.34,1001,11
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 04:00:00,0,15.44,1002,10
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 05:00:00,0,15.62,1003,11
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 06:00:00,1,15.85,1003,11
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 07:00:00,0,16.32,1004,11
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 08:00:00,1,16.54,1005,11
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 09:00:00,1,16.83,1006,11
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 10:00:00,2,17.24,1006,12
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 11:00:00,1,17.27,1006,11
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 12:00:00,7,16.51,1006,11
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 13:00:00,5,15.55,1007,9
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 14:00:00,2,15.61,1007,7
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 15:00:00,1,15.27,1008,6
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 16:00:00,2,15.69,1009,6
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 17:00:00,1,14.32,1010,3
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 18:00:00,4,13.34,1010,4
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 19:00:00,4,11.68,1011,5
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 20:00:00,10,10.49,1011,5
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 21:00:00,5,10.19,1012,4
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 22:00:00,1,10.31,1012,5
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-29 23:00:00,0,10.59,1013,5
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 00:00:00,0,11.02,1014,5
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 01:00:00,0,10.98,1014,5
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 02:00:00,0,11.07,1015,5
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 03:00:00,0,11.17,1015,4
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 04:00:00,0,11.21,1016,4
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 05:00:00,0,11.14,1016,3
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 06:00:00,0,11.32,1016,3
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 07:00:00,0,12.03,1016,3
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 08:00:00,0,13.15,1016,2
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 09:00:00,0,13.37,1017,1
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 10:00:00,0,13.84,1016,1
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 11:00:00,0,14.21,1016,1
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 12:00:00,0,14.86,1016,1
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 13:00:00,0,15.28,1015,1
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 14:00:00,0,15.12,1015,1
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 15:00:00,0,14.77,1015,1
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 16:00:00,0,14.6,1016,1
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 17:00:00,0,13.69,1016,2
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 18:00:00,0,13.53,1015,3
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 19:00:00,0,13.82,1016,3
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 20:00:00,0,13.5,1016,3
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 21:00:00,0,13.87,1016,3
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 22:00:00,0,13.36,1015,3
Kadikoy/Rihtim,17062,40.9883,29.01895,2023-11-30 23:00:00,0,12.97,1015,2
