Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),2_Metre_Cig_Noktasi_Sicakligi(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Tuzla,18100,40.827778,29.293056,2024-11-22 00:00:00,0,10.28,10.28,1014,4
Tuzla,18100,40.827778,29.293056,2024-11-22 01:00:00,0,9.45,9.45,1014,2
Tuzla,18100,40.827778,29.293056,2024-11-22 02:00:00,0,9.46,9.46,1013,4
Tuzla,18100,40.827778,29.293056,2024-11-22 03:00:00,0,9.45,9.45,1012,4
Tuzla,18100,40.827778,29.293056,2024-11-22 04:00:00,0,9.1,9.1,1012,2
Tuzla,18100,40.827778,29.293056,2024-11-22 05:00:00,0,8.76,8.76,1013,1
Tuzla,18100,40.827778,29.293056,2024-11-22 06:00:00,0,9.5,9.5,1013,1
Tuzla,18100,40.827778,29.293056,2024-11-22 07:00:00,0,10.62,10.62,1013,1
Tuzla,18100,40.827778,29.293056,2024-11-22 08:00:00,0,12.07,12.07,1013,1
Tuzla,18100,40.827778,29.293056,2024-11-22 09:00:00,0,13.47,13.47,1012,1
Tuzla,18100,40.827778,29.293056,2024-11-22 10:00:00,0,15.08,15.08,1011,0
Tuzla,18100,40.827778,29.293056,2024-11-22 11:00:00,0,16.09,16.09,1011,1
Tuzla,18100,40.827778,29.293056,2024-11-22 12:00:00,0,16.66,16.66,1010,1
Tuzla,18100,40.827778,29.293056,2024-11-22 13:00:00,0,17.59,17.59,1010,1
Tuzla,18100,40.827778,29.293056,2024-11-22 14:00:00,0,17.99,17.99,1009,2
Tuzla,18100,40.827778,29.293056,2024-11-22 15:00:00,0,16.97,16.97,1008,2
Tuzla,18100,40.827778,29.293056,2024-11-22 16:00:00,0,16.13,16.13,1008,3
Tuzla,18100,40.827778,29.293056,2024-11-22 17:00:00,0,17.91,17.91,1009,4
Tuzla,18100,40.827778,29.293056,2024-11-22 18:00:00,0,18.66,18.66,1009,5
Tuzla,18100,40.827778,29.293056,2024-11-22 19:00:00,0,18.52,18.52,1008,5
Tuzla,18100,40.827778,29.293056,2024-11-22 20:00:00,0,18.69,18.69,1008,5
Tuzla,18100,40.827778,29.293056,2024-11-22 21:00:00,0,17.67,17.67,1008,4
Tuzla,18100,40.827778,29.293056,2024-11-22 22:00:00,0,16.67,16.67,1007,3
Tuzla,18100,40.827778,29.293056,2024-11-22 23:00:00,0,16.78,16.78,1007,4
Tuzla,18100,40.827778,29.293056,2024-11-23 00:00:00,0,16.43,16.43,1007,3
Tuzla,18100,40.827778,29.293056,2024-11-23 01:00:00,0,16.64,16.64,1006,4
Tuzla,18100,40.827778,29.293056,2024-11-23 02:00:00,0,17.54,17.54,1006,4
Tuzla,18100,40.827778,29.293056,2024-11-23 03:00:00,0,16.91,16.91,1006,4
Tuzla,18100,40.827778,29.293056,2024-11-23 04:00:00,0,16.41,16.41,1007,3
Tuzla,18100,40.827778,29.293056,2024-11-23 05:00:00,0,17.56,17.56,1006,4
Tuzla,18100,40.827778,29.293056,2024-11-23 06:00:00,0,17.25,17.25,1007,3
Tuzla,18100,40.827778,29.293056,2024-11-23 07:00:00,0,18.7,18.7,1007,5
Tuzla,18100,40.827778,29.293056,2024-11-23 08:00:00,4,9.17,9.17,1010,11
Tuzla,18100,40.827778,29.293056,2024-11-23 09:00:00,6,5.89,5.89,1012,10
Tuzla,18100,40.827778,29.293056,2024-11-23 10:00:00,5,4.91,4.91,1015,6
Tuzla,18100,40.827778,29.293056,2024-11-23 11:00:00,4,3.97,3.97,1018,3
Tuzla,18100,40.827778,29.293056,2024-11-23 12:00:00,2,3.48,3.48,1019,1
Tuzla,18100,40.827778,29.293056,2024-11-23 13:00:00,2,3.88,3.88,1022,1
Tuzla,18100,40.827778,29.293056,2024-11-23 14:00:00,1,4.71,4.71,1022,1
Tuzla,18100,40.827778,29.293056,2024-11-23 15:00:00,0,5.53,5.53,1021,3
Tuzla,18100,40.827778,29.293056,2024-11-23 16:00:00,0,6.36,6.36,1022,3
Tuzla,18100,40.827778,29.293056,2024-11-23 17:00:00,0,7.49,7.49,1023,5
Tuzla,18100,40.827778,29.293056,2024-11-23 18:00:00,0,7.39,7.39,1024,6
Tuzla,18100,40.827778,29.293056,2024-11-23 19:00:00,0,7.02,7.02,1024,6
Tuzla,18100,40.827778,29.293056,2024-11-23 20:00:00,0,6.78,6.78,1025,6
Tuzla,18100,40.827778,29.293056,2024-11-23 21:00:00,0,6.89,6.89,1026,6
Tuzla,18100,40.827778,29.293056,2024-11-23 22:00:00,2,6.98,6.98,1027,4
Tuzla,18100,40.827778,29.293056,2024-11-23 23:00:00,2,4.92,4.92,1028,6
Tuzla,18100,40.827778,29.293056,2024-11-24 00:00:00,1,5.64,5.64,1029,2
Tuzla,18100,40.827778,29.293056,2024-11-24 01:00:00,0,5.71,5.71,1029,2
Tuzla,18100,40.827778,29.293056,2024-11-24 02:00:00,0,6.66,6.66,1030,3
Tuzla,18100,40.827778,29.293056,2024-11-24 03:00:00,0,6.53,6.53,1030,5
Tuzla,18100,40.827778,29.293056,2024-11-24 04:00:00,0,6.36,6.36,1031,4
Tuzla,18100,40.827778,29.293056,2024-11-24 05:00:00,0,6.42,6.42,1031,4
Tuzla,18100,40.827778,29.293056,2024-11-24 06:00:00,0,6.97,6.97,1032,4
Tuzla,18100,40.827778,29.293056,2024-11-24 07:00:00,0,7.89,7.89,1032,4
Tuzla,18100,40.827778,29.293056,2024-11-24 08:00:00,0,8.73,8.73,1032,5
Tuzla,18100,40.827778,29.293056,2024-11-24 09:00:00,0,9.2,9.2,1032,5
Tuzla,18100,40.827778,29.293056,2024-11-24 10:00:00,0,9.26,9.26,1032,5
Tuzla,18100,40.827778,29.293056,2024-11-24 11:00:00,0,9.15,9.15,1032,5
Tuzla,18100,40.827778,29.293056,2024-11-24 12:00:00,0,9.09,9.09,1031,5
Tuzla,18100,40.827778,29.293056,2024-11-24 13:00:00,0,8.86,8.86,1031,4
Tuzla,18100,40.827778,29.293056,2024-11-24 14:00:00,0,8.33,8.33,1031,3
