Physics,MAE,RMSE,Bias
mp4_pbl1,12.8801,14.1268,-12.8316
mp4_pbl5,12.2210,13.6220,-12.1429
mp4_pbl7,12.4526,13.8530,-12.3987
mp6_pbl1,12.9067,14.1519,-12.8628
mp6_pbl5,12.2007,13.5954,-12.1215
mp6_pbl7,12.4849,13.8742,-12.4358
mp38_pbl1,12.8408,14.0993,-12.7992
mp38_pbl5,12.1651,13.5690,-12.0885
mp38_pbl7,12.4406,13.8326,-12.3877
mp10_pbl1,12.8905,14.1440,-12.8501
mp10_pbl5,12.1866,13.5846,-12.1192
mp10_pbl7,12.4675,13.8555,-12.4184
mp24_pbl1,12.8911,14.1407,-12.8472
mp24_pbl5,12.2108,13.6017,-12.1314
mp24_pbl7,12.4754,13.8656,-12.4190
