Physics,MAE,RMSE,Bias
mp4_pbl1,10.0650,11.6399,-8.9200
mp4_pbl5,9.7966,11.2825,-8.3399
mp4_pbl7,9.8246,11.3403,-8.3114
mp6_pbl1,10.1090,11.6823,-8.9765
mp6_pbl5,9.8065,11.2791,-8.3480
mp6_pbl7,9.8740,11.3850,-8.3636
mp38_pbl1,9.9416,11.4612,-8.7994
mp38_pbl5,9.6810,11.1261,-8.2212
mp38_pbl7,9.7882,11.2659,-8.2768
mp10_pbl1,10.1143,11.6813,-8.9870
mp10_pbl5,9.7942,11.2840,-8.3657
mp10_pbl7,9.9206,11.4239,-8.4175
mp24_pbl1,10.1118,11.6809,-8.9725
mp24_pbl5,9.8130,11.2846,-8.3568
mp24_pbl7,9.8828,11.3960,-8.3681
