Physics,MAE,RMSE,Bias
mp4_pbl1,16.9416,17.7544,-16.9416
mp4_pbl5,16.8743,17.7080,-16.8646
mp4_pbl7,16.9062,17.7296,-16.9062
mp6_pbl1,16.9861,17.7937,-16.9861
mp6_pbl5,16.9051,17.7334,-16.9051
mp6_pbl7,16.9578,17.7655,-16.9578
mp38_pbl1,17.0208,17.8119,-17.0208
mp38_pbl5,16.9676,17.7723,-16.9676
mp38_pbl7,16.9867,17.7797,-16.9867
mp10_pbl1,16.9572,17.7599,-16.9572
mp10_pbl5,16.9543,17.7669,-16.9543
mp10_pbl7,16.9537,17.7576,-16.9537
mp24_pbl1,16.9896,17.7959,-16.9896
mp24_pbl5,16.9097,17.7371,-16.9097
mp24_pbl7,16.9572,17.7633,-16.9572
