datetime,value,wdir
2021-06-01 00:00:00,1.000,26.000
2021-06-01 01:00:00,1.500,324.000
2021-06-01 02:00:00,1.500,338.000
2021-06-01 03:00:00,4.200,349.000
2021-06-01 04:00:00,4.300,323.000
2021-06-01 05:00:00,3.700,327.000
2021-06-01 06:00:00,2.700,326.000
2021-06-01 07:00:00,3.100,315.000
2021-06-01 08:00:00,3.600,325.000
2021-06-01 09:00:00,5.600,336.000
2021-06-01 10:00:00,5.000,336.000
2021-06-01 11:00:00,3.900,262.000
2021-06-01 12:00:00,3.100,247.000
2021-06-01 13:00:00,4.000,265.000
2021-06-01 14:00:00,3.400,258.000
2021-06-01 15:00:00,2.600,248.000
2021-06-01 16:00:00,2.400,231.000
2021-06-01 17:00:00,1.600,214.000
2021-06-01 18:00:00,1.000,195.000
2021-06-01 19:00:00,1.200,221.000
2021-06-01 20:00:00,1.200,340.000
2021-06-01 21:00:00,0.900,350.000
2021-06-01 22:00:00,2.000,357.000
2021-06-01 23:00:00,2.000,327.000
2021-06-02 00:00:00,1.200,321.000
2021-06-02 01:00:00,1.300,320.000
2021-06-02 02:00:00,3.400,311.000
2021-06-02 03:00:00,2.900,309.000
2021-06-02 04:00:00,3.100,306.000
2021-06-02 05:00:00,4.300,317.000
2021-06-02 06:00:00,5.700,319.000
2021-06-02 07:00:00,5.300,315.000
2021-06-02 08:00:00,4.700,329.000
2021-06-02 09:00:00,6.500,330.000
2021-06-02 10:00:00,6.300,334.000
2021-06-02 11:00:00,5.400,334.000
2021-06-02 12:00:00,4.400,342.000
2021-06-02 13:00:00,3.800,333.000
2021-06-02 14:00:00,3.200,329.000
2021-06-02 15:00:00,2.700,350.000
2021-06-02 16:00:00,0.600,197.000
2021-06-02 17:00:00,1.900,199.000
2021-06-02 18:00:00,2.100,197.000
2021-06-02 19:00:00,1.900,244.000
2021-06-02 20:00:00,0.700,183.000
2021-06-02 21:00:00,1.100,287.000
2021-06-02 22:00:00,1.800,216.000
2021-06-02 23:00:00,1.800,215.000
2021-06-03 00:00:00,1.600,165.000
2021-06-03 01:00:00,1.000,155.000
2021-06-03 02:00:00,0.700,158.000
2021-06-03 03:00:00,0.800,186.000
2021-06-03 04:00:00,1.700,207.000
2021-06-03 05:00:00,1.500,246.000
2021-06-03 06:00:00,2.100,244.000
2021-06-03 07:00:00,3.700,240.000
2021-06-03 08:00:00,4.100,232.000
2021-06-03 09:00:00,4.200,230.000
2021-06-03 10:00:00,3.600,240.000
2021-06-03 11:00:00,2.300,251.000
2021-06-03 12:00:00,2.500,263.000
2021-06-03 13:00:00,2.600,340.000
2021-06-03 14:00:00,1.700,9.000
2021-06-03 15:00:00,2.200,17.000
2021-06-03 16:00:00,3.400,6.000
2021-06-03 17:00:00,2.900,9.000
2021-06-03 18:00:00,1.700,1.000
2021-06-03 19:00:00,0.400,360.000
2021-06-03 20:00:00,0.000,0.000
2021-06-03 21:00:00,0.500,205.000
2021-06-03 22:00:00,1.300,209.000
2021-06-03 23:00:00,1.300,213.000
2021-06-04 00:00:00,1.300,228.000
2021-06-04 01:00:00,1.000,291.000
2021-06-04 02:00:00,0.400,296.000
2021-06-04 03:00:00,0.300,347.000
2021-06-04 04:00:00,0.200,2.000
2021-06-04 05:00:00,0.400,300.000
2021-06-04 06:00:00,1.900,337.000
2021-06-04 07:00:00,1.900,308.000
2021-06-04 08:00:00,1.600,253.000
2021-06-04 09:00:00,1.700,170.000
2021-06-04 10:00:00,2.900,225.000
2021-06-04 11:00:00,2.400,11.000
2021-06-04 12:00:00,3.200,5.000
2021-06-04 13:00:00,4.900,1.000
2021-06-04 14:00:00,4.600,10.000
2021-06-04 15:00:00,4.700,13.000
2021-06-04 16:00:00,4.300,17.000
2021-06-04 17:00:00,3.000,46.000
2021-06-04 18:00:00,1.800,355.000
2021-06-04 19:00:00,0.300,338.000
2021-06-04 20:00:00,0.100,214.000
2021-06-04 21:00:00,0.800,319.000
2021-06-04 22:00:00,0.600,332.000
2021-06-04 23:00:00,0.300,349.000
2021-06-05 00:00:00,0.300,231.000
2021-06-05 01:00:00,0.200,5.000
2021-06-05 02:00:00,0.200,4.000
2021-06-05 03:00:00,0.100,4.000
2021-06-05 04:00:00,0.100,15.000
2021-06-05 05:00:00,0.300,25.000
2021-06-05 06:00:00,0.800,303.000
2021-06-05 07:00:00,1.400,351.000
2021-06-05 08:00:00,1.700,48.000
2021-06-05 09:00:00,2.400,4.000
2021-06-05 10:00:00,3.100,1.000
2021-06-05 11:00:00,2.900,25.000
2021-06-05 12:00:00,4.300,20.000
2021-06-05 13:00:00,4.600,25.000
2021-06-05 14:00:00,4.500,26.000
2021-06-05 15:00:00,4.800,23.000
2021-06-05 16:00:00,3.700,38.000
2021-06-05 17:00:00,2.500,2.000
2021-06-05 18:00:00,0.700,179.000
2021-06-05 19:00:00,0.600,202.000
2021-06-05 20:00:00,0.600,193.000
2021-06-05 21:00:00,0.800,360.000
2021-06-05 22:00:00,0.100,1.000
2021-06-05 23:00:00,0.000,0.000
2021-06-06 00:00:00,0.000,0.000
2021-06-06 01:00:00,0.100,346.000
2021-06-06 03:00:00,0.300,5.000
2021-06-06 04:00:00,0.000,0.000
2021-06-06 05:00:00,1.300,197.000
2021-06-06 06:00:00,2.600,190.000
2021-06-06 07:00:00,3.100,209.000
2021-06-06 08:00:00,2.600,254.000
2021-06-06 09:00:00,2.800,279.000
2021-06-06 10:00:00,2.400,248.000
2021-06-06 11:00:00,3.000,238.000
2021-06-06 12:00:00,2.400,216.000
2021-06-06 13:00:00,2.500,230.000
2021-06-06 14:00:00,2.400,234.000
2021-06-06 15:00:00,2.200,219.000
2021-06-06 16:00:00,1.700,241.000
2021-06-06 17:00:00,1.200,221.000
2021-06-06 18:00:00,1.000,191.000
2021-06-06 19:00:00,1.100,177.000
2021-06-06 20:00:00,0.800,1.000
2021-06-06 21:00:00,0.000,0.000
2021-06-06 22:00:00,0.400,2.000
2021-06-06 23:00:00,0.100,360.000
2021-06-07 02:00:00,0.400,356.000
2021-06-07 03:00:00,0.200,355.000
2021-06-07 04:00:00,0.100,6.000
2021-06-07 05:00:00,0.100,308.000
2021-06-07 06:00:00,0.700,292.000
2021-06-07 07:00:00,1.700,286.000
2021-06-07 08:00:00,2.000,291.000
2021-06-07 09:00:00,1.700,259.000
2021-06-07 10:00:00,2.400,266.000
2021-06-07 11:00:00,1.400,323.000
2021-06-07 12:00:00,2.400,343.000
2021-06-07 13:00:00,3.300,29.000
2021-06-07 14:00:00,5.000,38.000
2021-06-07 15:00:00,4.400,48.000
2021-06-07 16:00:00,4.100,37.000
2021-06-07 17:00:00,2.800,44.000
2021-06-07 18:00:00,1.400,36.000
2021-06-07 19:00:00,1.800,33.000
2021-06-07 20:00:00,1.800,29.000
2021-06-07 21:00:00,2.200,44.000
2021-06-07 22:00:00,1.500,55.000
2021-06-07 23:00:00,1.500,3.000
2021-06-08 00:00:00,0.900,144.000
2021-06-08 01:00:00,1.800,42.000
2021-06-08 02:00:00,0.700,350.000
2021-06-08 03:00:00,0.500,322.000
2021-06-08 04:00:00,0.500,28.000
2021-06-08 05:00:00,0.500,47.000
2021-06-08 06:00:00,0.700,70.000
2021-06-08 07:00:00,0.900,37.000
2021-06-08 08:00:00,1.800,74.000
2021-06-08 09:00:00,2.100,82.000
2021-06-08 10:00:00,3.200,81.000
2021-06-08 11:00:00,3.300,83.000
2021-06-08 12:00:00,3.600,54.000
2021-06-08 13:00:00,4.100,28.000
2021-06-08 14:00:00,5.400,56.000
2021-06-08 15:00:00,4.800,57.000
2021-06-08 16:00:00,4.500,63.000
2021-06-08 17:00:00,3.800,72.000
2021-06-08 18:00:00,2.700,50.000
2021-06-08 19:00:00,1.800,32.000
2021-06-08 20:00:00,1.400,48.000
2021-06-08 21:00:00,0.500,57.000
2021-06-08 22:00:00,0.200,9.000
2021-06-08 23:00:00,0.000,0.000
2021-06-09 00:00:00,0.400,360.000
2021-06-09 01:00:00,0.100,7.000
2021-06-09 02:00:00,0.100,1.000
2021-06-09 03:00:00,0.000,0.000
2021-06-09 04:00:00,0.400,50.000
2021-06-09 05:00:00,1.000,73.000
2021-06-09 06:00:00,2.300,72.000
2021-06-09 07:00:00,3.400,65.000
2021-06-09 08:00:00,4.200,57.000
2021-06-09 09:00:00,4.500,54.000
2021-06-09 10:00:00,4.400,47.000
2021-06-09 11:00:00,4.900,32.000
2021-06-09 12:00:00,5.000,33.000
2021-06-09 13:00:00,5.700,28.000
2021-06-09 14:00:00,5.600,27.000
2021-06-09 15:00:00,5.600,29.000
2021-06-09 16:00:00,4.900,32.000
2021-06-09 17:00:00,4.400,40.000
2021-06-09 18:00:00,3.800,52.000
2021-06-09 19:00:00,2.500,62.000
2021-06-09 20:00:00,1.000,37.000
2021-06-09 21:00:00,0.800,20.000
2021-06-09 22:00:00,0.600,49.000
2021-06-09 23:00:00,0.500,13.000
2021-06-10 00:00:00,0.500,26.000
2021-06-10 01:00:00,0.300,70.000
2021-06-10 02:00:00,1.300,76.000
2021-06-10 03:00:00,0.800,48.000
2021-06-10 04:00:00,0.400,87.000
2021-06-10 05:00:00,1.000,79.000
2021-06-10 06:00:00,1.300,103.000
2021-06-10 07:00:00,2.400,53.000
2021-06-10 08:00:00,3.300,32.000
2021-06-10 09:00:00,4.200,26.000
2021-06-10 10:00:00,5.400,33.000
2021-06-10 11:00:00,6.200,33.000
2021-06-10 12:00:00,6.600,31.000
2021-06-10 13:00:00,6.800,31.000
2021-06-10 14:00:00,6.600,29.000
2021-06-10 15:00:00,6.600,29.000
2021-06-10 16:00:00,6.100,29.000
2021-06-10 17:00:00,5.300,36.000
2021-06-10 18:00:00,3.800,38.000
2021-06-10 19:00:00,2.700,48.000
2021-06-10 20:00:00,2.200,31.000
2021-06-10 21:00:00,1.200,29.000
2021-06-10 22:00:00,0.400,359.000
2021-06-10 23:00:00,0.100,1.000
2021-06-11 00:00:00,0.400,5.000
2021-06-11 01:00:00,0.100,73.000
